,Ticker,Average Volume,Competitors,Symbol,Security,Headquarters,Industry,Date added
360,OGN,2142443,[],OGN,Organon & Co.,"Jersey City, New Jersey",Pharmaceuticals,2021-06-03
361,OTIS,1942555,[],OTIS,Otis Worldwide,"Farmington, Connecticut",Industrial Machinery,2020-04-03
362,PCAR,3294008,"['HMC', 'RACE', 'F']",PCAR,Paccar,"Bellevue, Washington",Construction Machinery & Heavy Trucks,1980-12-31
363,PKG,681883,['AMCR'],PKG,Packaging Corporation of America,"Lake Forest, Illinois",Paper Packaging,2017-07-26
364,PARA,12229002,"['FWONK', 'FOXA', 'FOX', 'NXST']",PARA,Paramount Global,"New York City, New York",Movies & Entertainment,1994-09-30
365,PH,884639,"['WIRE', 'B', 'SGBX', 'SEII']",PH,Parker Hannifin,"Cleveland, Ohio",Industrial Machinery,1985-11-30
366,PAYX,1621519,"['CDAY', 'CBZ']",PAYX,Paychex,"Penfield, New York",Data Processing & Outsourced Services,1998-10-01
367,PAYC,482845,"['FICO', 'SPLK', 'TTWO']",PAYC,Paycom,"Oklahoma City, Oklahoma",Application Software,2020-01-28
368,PYPL,14403447,"['ADP', 'FISV', 'FIS', 'VRSK']",PYPL,PayPal,"San Jose, California",Data Processing & Outsourced Services,2015-07-20
369,PNR,1518992,"['WTS', 'MWA', 'CIR']",PNR,Pentair,"Worsley, United Kingdom",Industrial Machinery,2012-10-01
370,PEP,4771755,"['KO', 'MNST', 'KDP', 'CCEP']",PEP,PepsiCo,"Purchase, New York",Soft Drinks,1957-03-04
371,PKI,864487,"['WAT', 'BIO', 'QGEN', 'BRKR']",PKI,PerkinElmer,"Waltham, Massachusetts",Health Care Equipment,1985-05-31
372,PFE,21828094,"['NVO', 'AZN', 'MRK', 'ABBV']",PFE,Pfizer,"New York City, New York",Pharmaceuticals,1957-03-04
373,PCG,14786122,"['EXC', 'XEL', 'ED', 'PEG']",PCG,PG&E Corporation,"San Francisco, California",Multi-Utilities,2022-10-03
374,PM,4668780,"['MO', 'VGR']",PM,Philip Morris International,"New York City, New York",Tobacco,2008-03-31
375,PSX,3349154,"['VLO', 'MPC', 'IMO', 'IEP']",PSX,Phillips 66,"Houston, Texas",Oil & Gas Refining & Marketing,2012-05-01
376,PNW,946861,"['KEP', 'VST', 'NRG']",PNW,Pinnacle West,"Phoenix, Arizona",Multi-Utilities,1999-10-04
377,PXD,2408829,"['WOPEF', 'WDS', 'SU', 'E']",PXD,Pioneer Natural Resources,"Irving, Texas",Oil & Gas Exploration & Production,2008-09-24
378,PNC,2726877,"['TFC', 'SAN', 'SMFG', 'BNS']",PNC,PNC Financial Services,"Pittsburgh, Pennsylvania",Regional Banks,1988-04-30
379,POOL,448727,[],POOL,Pool Corporation,"Covington, Louisiana",Distributors,2020-10-07
380,PPG,1317408,"['RPM', 'AXTA', 'SHW']",PPG,PPG Industries,"Pittsburgh, Pennsylvania",Specialty Chemicals,1957-03-04
381,PPL,5128596,"['FTS', 'AEE', 'ETR', 'CNP']",PPL,PPL Corporation,"Allentown, Pennsylvania",Electric Utilities,2001-10-01
382,PFG,1630442,"['EHTH', 'MHNC', 'TILCF']",PFG,Principal Financial Group,"Des Moines, Iowa",Life & Health Insurance,2002-07-22
383,PG,6637910,['CHD'],PG,Procter & Gamble,"Cincinnati, Ohio",Personal Products,1957-03-04
384,PGR,2351815,"['CB', 'CINF', 'MKL', 'WRB']",PGR,Progressive Corporation,"Mayfield Village, Ohio",Property & Casualty Insurance,1997-08-04
